churn,idade,mensalidade_r$,tempo_contrato_meses,chamados_suporte,score_satisfacao
0,64,79.58,68,1,8.9
0,22,88.48,67,0,7.0
0,28,117.7,70,0,5.3
0,31,211.83,63,2,10.0
0,28,112.87,46,2,4.8
0,63,125.1,17,1,7.1
0,67,140.56,24,2,5.9
0,51,118.39,51,0,7.3
0,20,211.23,37,0,8.1
0,23,98.74,1,0,5.6
0,36,149.77,57,0,6.9
0,42,126.42,62,1,6.9
0,53,144.85,63,3,5.3
0,45,72.93,30,1,9.2
0,33,190.72,27,1,7.4
0,27,115.14,53,0,6.6
0,57,121.37,49,0,5.9
0,59,82.6,57,1,6.5
0,19,90.81,55,0,7.3
0,24,142.57,2,1,6.2
0,43,159.46,62,2,9.3
0,40,150.13,63,0,2.5
0,68,168.36,18,3,3.2
0,47,148.58,8,0,6.6
0,41,121.14,55,0,3.8
0,42,153.46,11,0,7.0
0,55,143.74,64,0,5.9
0,51,115.98,33,1,8.1
0,27,149.04,7,1,7.8
0,60,171.43,18,3,9.4
0,61,129.38,71,2,8.7
0,72,105.75,47,3,9.3
0,62,148.75,64,2,8.0
0,34,196.03,14,2,9.0
0,36,111.58,20,2,8.0
0,54,116.31,45,2,6.0
1,55,114.54,26,5,4.8
0,57,168.92,55,1,4.9
0,67,46.51,8,1,8.0
0,34,134.63,69,3,2.8
0,71,167.69,24,0,7.4
0,18,87.46,29,1,5.7
0,22,179.56,51,3,8.4
0,73,141.41,21,0,7.4
0,71,98.04,2,1,5.7
0,35,128.17,42,3,7.1
0,25,58.62,28,1,3.0
0,35,97.38,47,1,7.6
0,20,193.08,63,3,7.9
0,68,84.25,66,0,3.8
0,55,193.78,49,4,8.6
0,51,116.74,42,0,6.9
0,31,159.79,48,4,7.4
0,44,121.76,32,3,4.5
0,28,30.34,25,3,8.2
0,62,97.09,22,0,8.1
0,45,127.59,35,1,7.1
0,19,73.96,52,2,5.3
0,32,66.1,13,1,8.5
0,58,134.65,46,0,9.3
0,47,94.02,25,1,7.8
0,39,52.17,6,2,8.9
0,32,92.64,42,1,6.0
0,23,154.43,22,1,7.4
0,52,101.05,3,0,7.8
0,55,157.39,12,2,7.4
0,47,181.09,48,0,10.0
0,71,121.3,36,2,7.9
0,70,74.81,20,2,6.1
0,29,67.94,28,1,8.6
1,52,118.95,30,1,5.2
0,53,155.24,12,2,7.8
0,32,130.76,41,0,8.5
1,34,141.89,38,2,6.3
0,45,102.27,35,3,6.6
0,60,132.02,47,1,5.5
0,34,101.15,17,1,7.4
0,59,106.98,25,1,5.9
0,55,68.31,35,2,10.0
0,30,57.11,60,1,8.3
0,40,100.72,16,0,6.8
0,65,75.7,8,0,4.6
0,66,81.65,68,2,10.0
0,55,146.84,5,2,9.5
0,18,115.72,24,1,8.0
0,56,236.57,51,0,7.5
0,30,157.05,19,1,7.5
0,64,94.67,40,0,6.3
0,70,151.12,51,2,10.0
0,42,134.27,54,1,7.6
0,72,92.57,31,2,4.6
0,61,164.1,67,0,6.0
0,36,88.99,25,1,2.5
0,68,30.0,37,3,8.4
0,39,151.76,70,0,8.6
0,23,95.31,59,2,10.0
0,51,179.44,41,0,10.0
0,66,94.01,47,1,5.8
0,55,72.75,7,1,8.0
0,40,181.94,37,1,9.0
0,69,76.98,16,1,8.6
0,45,128.14,36,2,6.3
0,39,177.99,66,0,8.6
0,26,124.58,71,0,8.1
0,30,116.78,41,3,9.6
0,57,124.1,25,0,7.1
0,63,153.56,61,2,6.7
0,34,87.73,31,2,6.3
0,53,144.43,25,5,6.5
0,67,143.08,34,1,5.8
1,26,213.31,44,3,6.6
0,33,106.54,46,0,8.1
0,47,83.41,20,0,8.0
0,50,149.43,5,0,9.5
0,40,104.11,44,2,9.1
0,40,131.56,47,2,8.3
0,25,125.3,28,0,5.1
0,52,166.74,3,2,8.2
0,71,93.73,1,1,9.2
0,29,116.31,27,2,4.8
0,63,30.0,52,1,5.1
0,28,84.4,32,0,5.4
0,20,181.45,69,1,5.3
0,60,92.74,41,2,6.6
0,28,91.94,55,3,5.4
0,60,71.28,41,2,7.8
1,36,143.19,15,0,4.9
0,50,127.12,43,0,6.9
0,71,72.53,12,1,6.2
1,70,146.7,2,7,5.4
0,45,130.4,65,1,9.0
0,29,150.16,24,1,7.2
0,32,94.34,67,1,8.1
0,66,189.52,53,1,6.5
0,51,136.39,13,3,8.4
0,27,115.32,30,2,8.2
0,68,99.25,10,0,6.8
0,72,110.21,59,1,3.9
0,73,154.35,67,4,8.6
0,53,109.24,39,1,8.3
0,73,163.13,19,2,7.4
0,52,143.23,41,2,7.5
0,46,173.86,55,1,7.3
0,73,152.56,49,2,7.5
0,52,117.48,18,2,5.3
0,62,43.63,70,0,7.0
0,37,131.94,69,4,7.7
0,63,151.56,1,1,6.0
0,73,126.52,2,0,5.4
0,21,142.26,9,0,10.0
0,48,101.14,10,2,8.2
0,39,104.78,7,1,6.6
0,20,82.3,31,0,6.2
0,22,174.48,15,0,2.3
1,33,126.34,29,2,4.5
0,29,100.3,2,2,6.7
0,58,66.73,64,0,9.4
0,30,113.87,71,1,3.4
0,53,177.71,37,1,5.8
0,66,138.48,11,1,10.0
0,46,91.02,50,0,8.3
0,25,177.18,34,0,7.9
1,21,177.14,47,4,9.3
0,34,159.23,63,2,6.9
0,41,151.55,17,1,6.8
0,46,166.23,34,0,8.4
0,35,141.73,45,1,8.6
0,66,151.0,18,4,5.2
0,50,88.8,17,0,9.9
0,73,179.98,21,1,4.0
0,71,129.25,51,0,5.9
0,58,200.97,30,0,10.0
0,19,38.31,65,0,6.2
0,30,148.22,22,0,8.3
0,60,159.26,45,0,5.3
0,49,106.28,34,0,6.5
0,71,138.1,24,0,5.8
0,58,149.93,30,1,6.4
0,64,143.1,68,1,8.3
0,20,98.41,6,2,10.0
0,34,114.32,14,1,8.7
