preco_r$,area_m2,quartos,distancia_centro_km,idade_imovel_anos,padrao
452239.0,96.6,3,7.69,13,medio
238931.0,71.7,2,9.23,14,popular
454777.0,75.5,2,0.83,19,alto
140565.0,25.0,3,4.52,37,popular
733763.0,153.0,3,6.96,3,alto
556311.0,130.0,3,4.56,20,medio
330716.0,78.6,1,9.76,25,medio
614985.0,117.1,2,0.73,15,alto
601061.0,99.8,4,3.17,23,alto
397860.0,70.6,2,4.98,6,medio
458481.0,124.2,2,18.05,25,medio
555989.0,79.1,3,0.13,6,alto
389822.0,78.5,4,8.51,36,medio
398549.0,62.3,3,21.66,16,alto
414144.0,105.9,3,0.29,30,popular
327928.0,86.5,3,0.32,18,popular
384738.0,109.1,3,8.03,20,popular
244073.0,68.7,2,10.94,32,popular
435071.0,94.4,2,0.9,0,medio
305874.0,58.8,4,6.32,4,popular
416016.0,119.5,4,4.76,30,popular
384021.0,96.6,4,2.89,18,popular
389039.0,101.6,3,2.23,6,popular
380356.0,104.4,1,2.47,5,popular
227492.0,54.6,2,9.61,29,popular
586554.0,117.4,4,13.07,10,alto
624378.0,162.0,1,4.16,28,medio
210247.0,32.7,4,10.37,19,medio
314906.0,29.5,4,12.33,26,alto
275289.0,37.3,4,1.53,35,medio
398050.0,119.5,1,2.92,34,popular
428981.0,94.5,2,7.97,5,medio
640634.0,127.7,1,0.03,14,alto
413029.0,115.3,2,8.16,6,popular
419891.0,97.4,2,1.46,17,medio
369337.0,99.9,1,1.32,28,medio
358916.0,84.1,4,12.41,26,medio
467315.0,120.4,1,8.92,21,medio
217520.0,50.5,1,12.75,39,medio
275225.0,75.2,2,0.84,3,popular
358555.0,98.5,3,21.45,15,popular
566008.0,153.0,4,7.37,27,popular
422370.0,63.2,2,0.9,2,alto
258422.0,52.2,4,5.47,38,medio
458203.0,70.3,3,8.68,30,alto
413932.0,123.9,3,1.59,29,popular
354104.0,81.8,3,6.27,26,medio
557211.0,136.4,4,3.45,39,medio
110476.0,25.0,1,1.12,28,popular
522637.0,129.5,3,5.81,29,medio
518532.0,126.2,2,9.57,6,medio
217563.0,40.3,1,0.7,13,medio
358658.0,95.4,3,0.13,29,popular
551662.0,132.6,4,0.78,32,popular
358945.0,93.1,4,3.92,0,popular
468057.0,125.0,2,13.58,22,medio
643716.0,173.1,3,0.26,5,popular
402979.0,99.6,4,1.44,3,popular
539446.0,80.2,3,3.59,11,alto
444987.0,63.0,2,1.12,14,alto
422968.0,112.7,1,3.52,10,popular
276800.0,83.1,1,4.55,37,medio
348749.0,83.7,1,0.81,10,popular
500244.0,86.3,3,19.16,26,alto
417213.0,112.7,4,2.11,29,popular
405808.0,52.7,1,9.01,14,alto
250247.0,36.5,2,0.84,9,medio
156380.0,25.0,4,10.38,28,popular
514719.0,132.0,2,8.9,6,popular
394283.0,92.6,2,6.32,27,medio
502944.0,142.9,4,1.41,36,popular
563342.0,89.7,4,1.97,6,alto
387767.0,64.0,1,2.52,23,alto
417085.0,106.7,1,3.85,18,medio
296899.0,87.3,4,17.01,26,popular
189345.0,46.1,3,1.51,32,popular
233118.0,59.0,1,14.43,8,popular
637095.0,151.8,3,6.72,4,medio
378246.0,102.4,3,3.51,11,popular
398371.0,104.6,1,3.01,21,popular
320100.0,80.3,4,20.47,6,medio
412010.0,65.9,3,18.41,4,alto
474260.0,121.2,2,12.64,14,medio
522766.0,86.3,1,6.13,10,alto
443485.0,63.4,1,4.48,9,alto
389009.0,85.3,2,2.27,30,medio
261970.0,58.3,2,11.3,4,popular
391367.0,96.7,2,0.47,14,popular
691077.0,129.5,4,4.1,38,alto
257367.0,60.7,3,14.88,32,medio
644350.0,140.0,3,2.05,32,alto
282430.0,66.6,1,6.23,29,medio
567580.0,95.4,2,2.08,12,alto
299966.0,60.7,1,0.58,25,medio
424543.0,82.2,4,4.93,17,medio
473941.0,91.7,4,0.02,6,medio
367220.0,74.8,2,8.33,0,medio
304703.0,65.4,3,0.78,18,popular
444448.0,66.3,3,4.7,11,alto
261606.0,61.3,2,3.08,35,popular
219600.0,35.0,3,1.94,17,medio
363883.0,80.8,2,2.74,25,medio
428310.0,104.0,3,0.99,22,medio
486631.0,121.8,3,2.62,2,popular
457099.0,112.6,4,4.36,23,medio
716130.0,176.0,2,0.95,20,medio
348909.0,101.2,4,5.15,39,popular
356615.0,74.0,2,3.2,18,medio
648307.0,155.5,4,0.89,13,medio
272547.0,53.3,4,9.82,19,medio
617707.0,123.9,3,19.19,33,alto
262207.0,56.6,1,6.1,16,medio
402024.0,102.4,2,2.33,38,popular
297790.0,25.0,4,5.76,32,alto
515134.0,121.5,3,1.5,3,medio
272337.0,84.5,3,8.0,21,popular
247113.0,56.1,1,18.16,21,medio
598728.0,148.7,3,8.22,34,medio
403342.0,116.8,1,3.79,32,popular
329508.0,91.6,3,6.71,38,popular
333508.0,63.9,4,0.39,17,medio
364758.0,88.5,3,13.98,35,popular
361222.0,84.3,4,0.77,37,popular
401961.0,115.4,4,0.89,30,popular
420882.0,117.9,2,7.14,8,popular
312152.0,66.6,4,1.5,0,medio
342603.0,70.8,4,0.77,33,popular
404921.0,71.4,2,4.09,0,medio
395192.0,42.8,4,15.49,26,alto
335633.0,69.3,1,1.02,6,medio
490894.0,86.8,4,12.9,27,alto
593141.0,114.2,4,2.72,20,alto
732978.0,136.2,4,0.73,3,alto
