empresa,ano,roa_%,investimento_pct_receita,alavancagem,tamanho_log_ativos
Empresa_01,2014-01-01,3.12,12.99,0.499,8.79
Empresa_01,2015-01-01,3.66,7.98,0.306,8.79
Empresa_01,2016-01-01,0.73,3.18,0.436,8.79
Empresa_01,2017-01-01,6.36,12.73,0.447,8.79
Empresa_01,2018-01-01,-3.27,3.52,0.738,8.79
Empresa_01,2019-01-01,3.81,11.31,0.351,8.79
Empresa_01,2020-01-01,2.96,6.03,0.299,8.79
Empresa_01,2021-01-01,-0.49,7.67,0.622,8.79
Empresa_01,2022-01-01,4.74,7.99,0.266,8.79
Empresa_01,2023-01-01,0.14,1.65,0.348,8.79
Empresa_02,2014-01-01,1.49,8.54,0.551,10.182
Empresa_02,2015-01-01,-1.3,5.06,0.28,10.182
Empresa_02,2016-01-01,-0.0,10.24,0.528,10.182
Empresa_02,2017-01-01,-1.26,6.18,0.28,10.182
Empresa_02,2018-01-01,3.0,7.29,0.38,10.182
Empresa_02,2019-01-01,0.23,6.48,0.357,10.182
Empresa_02,2020-01-01,-1.14,5.14,0.345,10.182
Empresa_02,2021-01-01,4.2,10.32,0.203,10.182
Empresa_02,2022-01-01,0.85,6.94,0.425,10.182
Empresa_02,2023-01-01,1.08,9.98,0.559,10.182
Empresa_03,2014-01-01,2.47,5.01,0.582,9.38
Empresa_03,2015-01-01,2.58,4.22,0.708,9.38
Empresa_03,2016-01-01,2.53,4.46,0.678,9.38
Empresa_03,2017-01-01,7.63,11.19,0.276,9.38
Empresa_03,2018-01-01,2.52,2.93,0.114,9.38
Empresa_03,2019-01-01,8.98,7.77,0.52,9.38
Empresa_03,2020-01-01,2.76,4.9,0.551,9.38
Empresa_03,2021-01-01,4.1,7.54,0.178,9.38
Empresa_03,2022-01-01,5.14,5.66,0.221,9.38
Empresa_03,2023-01-01,4.33,5.89,0.588,9.38
Empresa_04,2014-01-01,7.63,9.55,0.394,10.365
Empresa_04,2015-01-01,7.35,7.64,0.562,10.365
Empresa_04,2016-01-01,6.29,9.1,0.52,10.365
Empresa_04,2017-01-01,10.43,9.53,0.188,10.365
Empresa_04,2018-01-01,7.85,8.27,0.428,10.365
Empresa_04,2019-01-01,8.78,7.97,0.362,10.365
Empresa_04,2020-01-01,8.18,8.35,0.263,10.365
Empresa_04,2021-01-01,3.03,2.88,0.648,10.365
Empresa_04,2022-01-01,9.11,8.14,0.739,10.365
Empresa_04,2023-01-01,8.42,8.35,0.494,10.365
Empresa_05,2014-01-01,12.54,8.41,0.584,8.843
Empresa_05,2015-01-01,11.75,10.26,0.491,8.843
Empresa_05,2016-01-01,11.96,5.42,0.004,8.843
Empresa_05,2017-01-01,17.09,12.02,0.234,8.843
Empresa_05,2018-01-01,14.17,11.0,0.392,8.843
Empresa_05,2019-01-01,12.63,8.25,0.271,8.843
Empresa_05,2020-01-01,13.32,7.86,0.492,8.843
Empresa_05,2021-01-01,9.71,5.77,0.524,8.843
Empresa_05,2022-01-01,12.01,7.49,0.455,8.843
Empresa_05,2023-01-01,11.33,7.62,0.44,8.843
Empresa_06,2014-01-01,7.63,10.88,0.385,8.755
Empresa_06,2015-01-01,4.11,8.64,0.0,8.755
Empresa_06,2016-01-01,5.22,13.0,0.401,8.755
Empresa_06,2017-01-01,2.56,5.38,0.599,8.755
Empresa_06,2018-01-01,6.2,10.02,0.464,8.755
Empresa_06,2019-01-01,6.23,10.46,0.216,8.755
Empresa_06,2020-01-01,4.61,8.51,0.383,8.755
Empresa_06,2021-01-01,6.8,8.09,0.0,8.755
Empresa_06,2022-01-01,4.35,11.11,0.382,8.755
Empresa_06,2023-01-01,4.59,8.68,0.207,8.755
Empresa_07,2014-01-01,5.23,5.23,0.298,8.576
Empresa_07,2015-01-01,6.67,12.01,0.475,8.576
Empresa_07,2016-01-01,5.4,5.37,0.508,8.576
Empresa_07,2017-01-01,-1.7,3.16,0.576,8.576
Empresa_07,2018-01-01,1.98,6.98,0.458,8.576
Empresa_07,2019-01-01,3.5,3.45,0.428,8.576
Empresa_07,2020-01-01,2.17,6.57,0.602,8.576
Empresa_07,2021-01-01,7.96,13.26,0.418,8.576
Empresa_07,2022-01-01,8.4,9.84,0.448,8.576
Empresa_07,2023-01-01,7.9,14.62,0.482,8.576
Empresa_08,2014-01-01,0.84,8.03,0.385,8.095
Empresa_08,2015-01-01,-1.41,8.02,0.474,8.095
Empresa_08,2016-01-01,-0.13,4.92,0.568,8.095
Empresa_08,2017-01-01,-1.68,6.39,0.594,8.095
Empresa_08,2018-01-01,2.58,7.24,0.126,8.095
Empresa_08,2019-01-01,1.38,7.97,0.56,8.095
Empresa_08,2020-01-01,2.73,8.3,0.425,8.095
Empresa_08,2021-01-01,0.78,7.54,0.379,8.095
Empresa_08,2022-01-01,4.65,10.46,0.541,8.095
Empresa_08,2023-01-01,-0.81,7.82,0.593,8.095
Empresa_09,2014-01-01,10.42,13.32,0.497,9.192
Empresa_09,2015-01-01,8.85,9.86,0.458,9.192
Empresa_09,2016-01-01,12.64,7.25,0.265,9.192
Empresa_09,2017-01-01,6.55,8.55,0.553,9.192
Empresa_09,2018-01-01,6.61,4.89,0.384,9.192
Empresa_09,2019-01-01,11.17,10.56,0.257,9.192
Empresa_09,2020-01-01,12.86,12.7,0.27,9.192
Empresa_09,2021-01-01,7.35,5.27,0.46,9.192
Empresa_09,2022-01-01,12.0,13.36,0.304,9.192
Empresa_09,2023-01-01,10.82,11.28,0.232,9.192
Empresa_10,2014-01-01,7.1,10.2,0.513,8.218
Empresa_10,2015-01-01,3.85,12.28,0.601,8.218
Empresa_10,2016-01-01,-1.54,7.25,0.428,8.218
Empresa_10,2017-01-01,3.9,13.11,0.306,8.218
Empresa_10,2018-01-01,3.11,6.76,0.538,8.218
Empresa_10,2019-01-01,1.49,6.99,0.471,8.218
Empresa_10,2020-01-01,0.71,5.11,0.43,8.218
Empresa_10,2021-01-01,-3.04,3.48,0.569,8.218
Empresa_10,2022-01-01,2.05,8.78,0.246,8.218
Empresa_10,2023-01-01,-1.01,5.97,0.509,8.218
Empresa_11,2014-01-01,5.63,5.98,0.398,10.889
Empresa_11,2015-01-01,3.58,6.31,0.474,10.889
Empresa_11,2016-01-01,5.48,10.15,0.412,10.889
Empresa_11,2017-01-01,7.71,12.28,0.388,10.889
Empresa_11,2018-01-01,4.31,5.27,0.332,10.889
Empresa_11,2019-01-01,3.54,8.56,0.567,10.889
Empresa_11,2020-01-01,4.88,7.0,0.582,10.889
Empresa_11,2021-01-01,6.17,9.27,0.641,10.889
Empresa_11,2022-01-01,9.19,9.44,0.396,10.889
Empresa_11,2023-01-01,8.65,11.19,0.294,10.889
Empresa_12,2014-01-01,2.28,10.05,0.377,10.318
Empresa_12,2015-01-01,-1.82,2.64,0.516,10.318
Empresa_12,2016-01-01,-0.18,7.08,0.509,10.318
Empresa_12,2017-01-01,-0.99,6.25,0.296,10.318
Empresa_12,2018-01-01,5.21,15.23,0.371,10.318
Empresa_12,2019-01-01,4.38,10.7,0.0,10.318
Empresa_12,2020-01-01,2.83,8.03,0.254,10.318
Empresa_12,2021-01-01,-0.39,1.89,0.399,10.318
Empresa_12,2022-01-01,-1.65,1.24,0.176,10.318
Empresa_12,2023-01-01,2.28,7.74,0.291,10.318
Empresa_13,2014-01-01,2.82,7.33,0.189,7.244
Empresa_13,2015-01-01,0.77,0.32,0.531,7.244
Empresa_13,2016-01-01,8.8,13.38,0.155,7.244
Empresa_13,2017-01-01,6.77,8.5,0.353,7.244
Empresa_13,2018-01-01,2.43,7.93,0.282,7.244
Empresa_13,2019-01-01,4.17,4.66,0.634,7.244
Empresa_13,2020-01-01,7.71,11.67,0.29,7.244
Empresa_13,2021-01-01,3.93,4.94,0.438,7.244
Empresa_13,2022-01-01,4.14,8.96,0.645,7.244
Empresa_13,2023-01-01,9.06,9.83,0.171,7.244
Empresa_14,2014-01-01,2.55,8.04,0.629,8.766
Empresa_14,2015-01-01,3.33,6.14,0.204,8.766
Empresa_14,2016-01-01,1.96,5.07,0.306,8.766
Empresa_14,2017-01-01,5.62,9.65,0.274,8.766
Empresa_14,2018-01-01,8.85,12.95,0.158,8.766
Empresa_14,2019-01-01,7.93,14.1,0.293,8.766
Empresa_14,2020-01-01,0.25,3.52,0.433,8.766
Empresa_14,2021-01-01,2.88,8.56,0.244,8.766
Empresa_14,2022-01-01,1.83,6.28,0.274,8.766
Empresa_14,2023-01-01,3.11,7.0,0.213,8.766
Empresa_15,2014-01-01,4.92,8.16,0.266,6.053
Empresa_15,2015-01-01,2.96,3.51,0.249,6.053
Empresa_15,2016-01-01,8.61,8.55,0.186,6.053
Empresa_15,2017-01-01,5.82,5.05,0.478,6.053
Empresa_15,2018-01-01,6.65,3.86,0.538,6.053
Empresa_15,2019-01-01,4.78,6.28,0.47,6.053
Empresa_15,2020-01-01,5.54,7.96,0.359,6.053
Empresa_15,2021-01-01,6.91,9.97,0.523,6.053
Empresa_15,2022-01-01,9.22,12.4,0.557,6.053
Empresa_15,2023-01-01,6.1,5.74,0.681,6.053
Empresa_16,2014-01-01,-2.71,6.51,0.538,7.643
Empresa_16,2015-01-01,-2.87,7.09,0.435,7.643
Empresa_16,2016-01-01,-6.15,4.15,0.488,7.643
