data,vendas_mil_r$,gasto_marketing_mil_r$,temperatura_media_c
2019-01-01,123.25,21.73,23.8
2019-02-01,144.9,24.11,26.2
2019-03-01,141.31,21.65,29.0
2019-04-01,129.46,13.48,30.6
2019-05-01,136.71,24.53,28.8
2019-06-01,118.17,22.23,23.4
2019-07-01,109.96,17.32,22.3
2019-08-01,112.83,22.91,16.3
2019-09-01,117.2,21.82,13.0
2019-10-01,116.9,21.47,12.7
2019-11-01,111.56,20.14,15.0
2019-12-01,129.24,22.73,21.3
2020-01-01,140.58,16.32,21.2
2020-02-01,152.51,19.19,27.1
2020-03-01,145.54,17.59,26.2
2020-04-01,158.1,22.99,29.9
2020-05-01,150.57,20.2,29.7
2020-06-01,140.12,18.54,24.8
2020-07-01,130.57,16.09,20.1
2020-08-01,126.4,18.71,17.5
2020-09-01,125.67,20.04,15.7
2020-10-01,125.96,18.62,15.1
2020-11-01,155.97,26.47,18.6
2020-12-01,143.95,25.03,19.2
2021-01-01,133.57,6.44,22.1
2021-02-01,150.0,10.55,26.6
2021-03-01,160.49,19.13,29.3
2021-04-01,167.81,17.89,30.1
2021-05-01,162.45,21.07,28.3
2021-06-01,163.98,21.09,25.4
2021-07-01,167.56,30.59,18.5
2021-08-01,138.08,14.44,18.4
2021-09-01,146.99,18.11,13.8
2021-10-01,167.57,30.21,12.3
2021-11-01,155.45,23.23,16.6
2021-12-01,162.18,23.32,20.9
2022-01-01,181.6,17.43,23.7
2022-02-01,168.2,11.76,27.1
2022-03-01,184.9,20.84,28.0
2022-04-01,188.36,20.55,34.2
2022-05-01,169.14,13.86,29.7
2022-06-01,172.71,16.58,23.4
2022-07-01,165.71,19.64,19.8
2022-08-01,152.55,15.28,17.3
2022-09-01,154.8,19.51,12.3
2022-10-01,167.47,20.48,14.3
2022-11-01,165.91,20.18,14.9
2022-12-01,181.64,17.47,20.7
2023-01-01,207.09,22.97,24.4
2023-02-01,199.47,24.46,22.8
2023-03-01,192.51,21.6,29.4
2023-04-01,199.76,15.91,27.5
2023-05-01,220.11,23.66,30.0
2023-06-01,180.13,17.49,25.4
2023-07-01,183.46,24.4,21.8
2023-08-01,171.76,14.64,15.6
2023-09-01,180.06,24.57,17.4
2023-10-01,177.48,19.9,17.1
2023-11-01,175.36,13.76,14.0
2023-12-01,199.47,18.43,19.4
2024-01-01,207.56,20.27,22.0
2024-02-01,221.63,21.36,26.8
2024-03-01,211.43,15.09,27.5
2024-04-01,205.29,14.46,32.7
2024-05-01,215.02,21.0,26.9
2024-06-01,197.65,17.67,24.7
2024-07-01,202.12,21.18,21.8
2024-08-01,194.87,23.8,16.2
2024-09-01,172.38,11.76,14.3
2024-10-01,208.63,21.27,13.2
2024-11-01,216.29,26.12,15.4
2024-12-01,213.0,18.51,17.1
